"Series Code","Topic","Indicator Name","Short definition","Long definition","Unit of measure","Periodicity","Base Period","Other notes","Aggregation method","Limitations and exceptions","Notes from original source","General comments","Source","Statistical concept and methodology","Development relevance","Related source links","Other web links","Related indicators","License Type",
"SG.OWN.LDAL.MA.ZS","Gender","Men who own land alone (% of men)","","Men who own land alone (% of men) is the percentage of men who solely own a land which is legally registered with their name or cannot be sold without their signature.","","Annual","","","","","","","Demographic and Health Surveys (DHS)","Men who own land alone is the number of men who say the only type of land they own is the one they own alone or don't share ownership with anyone, expressed as percentage of men who have been interviewed and It’s derived by dividing the number of men who responded they alone own a land, which legally registered with their name or can’t be sold without their signature, by total number of men who have been interviewed. ‘Ownership’ implies that the land is legally registered in the man's name or, since official property records do not always exist or are not maintained, the land is recognized as his  and cannot be sold without his signature or equivalent. ‘land’ includes all agricultural or non-agricultural land. Non-agricultural land refers to rural land that is not used for growing crops, and most land in urban areas.","Ownership of assets, particularly high-value assets, has many beneficial effects for households, including protection against financial ruin. For women in particular, asset ownership is a source of economic empowerment and provides protection in the case of marital dissolution or abandonment. There is increasing evidence that ownership of property by women has positive consequences for women’s empowerment, nutritional and health outcomes, and children’s schooling.","","","","CC BY-4.0",
"SG.OWN.LDJT.FE.Q1.ZS","Gender","Women who own land jointly (% of women age 15-49): Q1 (lowest)","","Women who own land jointly (% of women age 15-49): Q1 (lowest) is the percentage of women age 15-49 who only jointly own a land, which legally registered with their name or cannot be sold without their signature, with someone else. ""Only jointly"" implies the woman doesn’t own a land on her own, but instead jointly owns one with someone else. Each wealth quintile represents one fifth of households with quintile 1 being the poorest 20 percent of households and quintile 5 being the richest 20 percent of households.","","Annual","","","","","","","Demographic and Health Surveys (DHS)","Women who own land jointly is the number of women age 15-49 who say the only type of land they own is the one they own with someone esle, expressed as percentage of women age 15-49 who have been interviewed. ‘Ownership’ implies that the land is legally registered in the woman’s name or, since official property records do not always exist or are not maintained, the land is recognized as hers and cannot be sold without her signature or equivalent. ‘land’ includes all agricultural or non-agricultural land. Non-agricultural land refers to rural land that is not used for growing crops, and most land in urban areas.","Ownership of assets, particularly high-value assets, has many beneficial effects for households, including protection against financial ruin. For women in particular, asset ownership is a source of economic empowerment and provides protection in the case of marital dissolution or abandonment. There is increasing evidence that ownership of property by women has positive consequences for women’s empowerment, nutritional and health outcomes, and children’s schooling.","","","","CC BY-4.0",
"SG.OWN.LDJT.FE.Q2.ZS","Gender","Women who own land jointly (% of women age 15-49): Q2","","Women who own land jointly (% of women age 15-49): Q2 is the percentage of women age 15-49 who only jointly own a land, which legally registered with their name or cannot be sold without their signature, with someone else. ""Only jointly"" implies the woman doesn’t own a land on her own, but instead jointly owns one with someone else. Each wealth quintile represents one fifth of households with quintile 1 being the poorest 20 percent of households and quintile 5 being the richest 20 percent of households.","","Annual","","","","","","","Demographic and Health Surveys (DHS)","Women who own land jointly is the number of women age 15-49 who say the only type of land they own is the one they own with someone esle, expressed as percentage of women age 15-49 who have been interviewed. ‘Ownership’ implies that the land is legally registered in the woman’s name or, since official property records do not always exist or are not maintained, the land is recognized as hers and cannot be sold without her signature or equivalent. ‘land’ includes all agricultural or non-agricultural land. Non-agricultural land refers to rural land that is not used for growing crops, and most land in urban areas.","Ownership of assets, particularly high-value assets, has many beneficial effects for households, including protection against financial ruin. For women in particular, asset ownership is a source of economic empowerment and provides protection in the case of marital dissolution or abandonment. There is increasing evidence that ownership of property by women has positive consequences for women’s empowerment, nutritional and health outcomes, and children’s schooling.","","","","CC BY-4.0",
"SG.OWN.LDJT.FE.Q3.ZS","Gender","Women who own land jointly (% of women age 15-49): Q3","","Women who own land jointly (% of women age 15-49): Q3 is the percentage of women age 15-49 who only jointly own a land, which legally registered with their name or cannot be sold without their signature, with someone else. ""Only jointly"" implies the woman doesn’t own a land on her own, but instead jointly owns one with someone else. Each wealth quintile represents one fifth of households with quintile 1 being the poorest 20 percent of households and quintile 5 being the richest 20 percent of households.","","Annual","","","","","","","Demographic and Health Surveys (DHS)","Women who own land jointly is the number of women age 15-49 who say the only type of land they own is the one they own with someone esle, expressed as percentage of women age 15-49 who have been interviewed. ‘Ownership’ implies that the land is legally registered in the woman’s name or, since official property records do not always exist or are not maintained, the land is recognized as hers and cannot be sold without her signature or equivalent. ‘land’ includes all agricultural or non-agricultural land. Non-agricultural land refers to rural land that is not used for growing crops, and most land in urban areas.","Ownership of assets, particularly high-value assets, has many beneficial effects for households, including protection against financial ruin. For women in particular, asset ownership is a source of economic empowerment and provides protection in the case of marital dissolution or abandonment. There is increasing evidence that ownership of property by women has positive consequences for women’s empowerment, nutritional and health outcomes, and children’s schooling.","","","","CC BY-4.0",
"SG.OWN.LDJT.FE.Q4.ZS","Gender","Women who own land jointly (% of women age 15-49): Q4","","Women who own land jointly (% of women age 15-49): Q4 is the percentage of women age 15-49 who only jointly own a land, which legally registered with their name or cannot be sold without their signature, with someone else. ""Only jointly"" implies the woman doesn’t own a land on her own, but instead jointly owns one with someone else. Each wealth quintile represents one fifth of households with quintile 1 being the poorest 20 percent of households and quintile 5 being the richest 20 percent of households.","","Annual","","","","","","","Demographic and Health Surveys (DHS)","Women who own land jointly is the number of women age 15-49 who say the only type of land they own is the one they own with someone esle, expressed as percentage of women age 15-49 who have been interviewed. ‘Ownership’ implies that the land is legally registered in the woman’s name or, since official property records do not always exist or are not maintained, the land is recognized as hers and cannot be sold without her signature or equivalent. ‘land’ includes all agricultural or non-agricultural land. Non-agricultural land refers to rural land that is not used for growing crops, and most land in urban areas.","Ownership of assets, particularly high-value assets, has many beneficial effects for households, including protection against financial ruin. For women in particular, asset ownership is a source of economic empowerment and provides protection in the case of marital dissolution or abandonment. There is increasing evidence that ownership of property by women has positive consequences for women’s empowerment, nutritional and health outcomes, and children’s schooling.","","","","CC BY-4.0",
"SG.OWN.LDJT.FE.Q5.ZS","Gender","Women who own land jointly (% of women age 15-49): Q5 (highest)","","Women who own land jointly (% of women age 15-49): Q5 (highest) is the percentage of women age 15-49 who only jointly own a land, which legally registered with their name or cannot be sold without their signature, with someone else. ""Only jointly"" implies the woman doesn’t own a land on her own, but instead jointly owns one with someone else. Each wealth quintile represents one fifth of households with quintile 1 being the poorest 20 percent of households and quintile 5 being the richest 20 percent of households.","","Annual","","","","","","","Demographic and Health Surveys (DHS)","Women who own land jointly is the number of women age 15-49 who say the only type of land they own is the one they own with someone esle, expressed as percentage of women age 15-49 who have been interviewed. ‘Ownership’ implies that the land is legally registered in the woman’s name or, since official property records do not always exist or are not maintained, the land is recognized as hers and cannot be sold without her signature or equivalent. ‘land’ includes all agricultural or non-agricultural land. Non-agricultural land refers to rural land that is not used for growing crops, and most land in urban areas.","Ownership of assets, particularly high-value assets, has many beneficial effects for households, including protection against financial ruin. For women in particular, asset ownership is a source of economic empowerment and provides protection in the case of marital dissolution or abandonment. There is increasing evidence that ownership of property by women has positive consequences for women’s empowerment, nutritional and health outcomes, and children’s schooling.","","","","CC BY-4.0",
"SG.OWN.LDJT.FE.ZS","Gender","Women who own land jointly (% of women age 15-49)","","Women who own land jointly (% of women age 15-49) is the percentage of women age 15-49 who only jointly own a land, which legally registered with their name or cannot be sold without their signature, with someone else. ""Only jointly"" implies the woman doesn’t own a land on her own, but instead jointly owns one with someone else.","","Annual","","","","","","","Demographic and Health Surveys (DHS)","Women who own land jointly is the number of women age 15-49 who say the only type of land they own is the one they own with someone esle, expressed as percentage of women age 15-49 who have been interviewed and It’s derived by dividing the number of women age 15-49 who responded they only jointly with someone else own a land which legally registered with their name or can’t be sold without their signature by total number of women age 15-49 who have been interviewed. ‘Ownership’ implies that the land is legally registered in the woman’s name or, since official property records do not always exist or are not maintained, the land is recognized as hers and cannot be sold without her signature or equivalent. ‘land’ includes all agricultural or non-agricultural land. Non-agricultural land refers to rural land that is not used for growing crops, and most land in urban areas.","Ownership of assets, particularly high-value assets, has many beneficial effects for households, including protection against financial ruin. For women in particular, asset ownership is a source of economic empowerment and provides protection in the case of marital dissolution or abandonment. There is increasing evidence that ownership of property by women has positive consequences for women’s empowerment, nutritional and health outcomes, and children’s schooling.","","","","CC BY-4.0",
"SG.OWN.LDJT.MA.Q1.ZS","Gender","Men who own land jointly (% of men): Q1 (lowest)","","Men who own land jointly (% of men): Q1 (lowest) is the percentage of men who only jointly own a land, which legally registered with their name or cannot be sold without their signature, with someone else. ""Only jointly"" implies the man doesn’t own a land on his own, but instead jointly owns one with someone else. Each wealth quintile represents one fifth of households with quintile 1 being the poorest 20 percent of households and quintile 5 being the richest 20 percent of households.","","Annual","","","","","","","Demographic and Health Surveys (DHS)","Men who own land jointly is the number of men who say the only type of land they own is the one they own with someone esle, expressed as percentage of men who have been interviewed. ‘Ownership’ implies that the land is legally registered in the man's name or, since official property records do not always exist or are not maintained, the land is recognized as his  and cannot be sold without his signature or equivalent. ‘land’ includes all agricultural or non-agricultural land. Non-agricultural land refers to rural land that is not used for growing crops, and most land in urban areas.","Ownership of assets, particularly high-value assets, has many beneficial effects for households, including protection against financial ruin. For women in particular, asset ownership is a source of economic empowerment and provides protection in the case of marital dissolution or abandonment. There is increasing evidence that ownership of property by women has positive consequences for women’s empowerment, nutritional and health outcomes, and children’s schooling.","","","","CC BY-4.0",
"SG.OWN.LDJT.MA.Q2.ZS","Gender","Men who own land jointly (% of men): Q2","","Men who own land jointly (% of men): Q2 is the percentage of men who only jointly own a land, which legally registered with their name or cannot be sold without their signature, with someone else. ""Only jointly"" implies the man doesn’t own a land on his own, but instead jointly owns one with someone else. Each wealth quintile represents one fifth of households with quintile 1 being the poorest 20 percent of households and quintile 5 being the richest 20 percent of households.","","Annual","","","","","","","Demographic and Health Surveys (DHS)","Men who own land jointly is the number of men who say the only type of land they own is the one they own with someone esle, expressed as percentage of men who have been interviewed. ‘Ownership’ implies that the land is legally registered in the man's name or, since official property records do not always exist or are not maintained, the land is recognized as his  and cannot be sold without his signature or equivalent. ‘land’ includes all agricultural or non-agricultural land. Non-agricultural land refers to rural land that is not used for growing crops, and most land in urban areas.","Ownership of assets, particularly high-value assets, has many beneficial effects for households, including protection against financial ruin. For women in particular, asset ownership is a source of economic empowerment and provides protection in the case of marital dissolution or abandonment. There is increasing evidence that ownership of property by women has positive consequences for women’s empowerment, nutritional and health outcomes, and children’s schooling.","","","","CC BY-4.0",
"SG.OWN.LDJT.MA.Q3.ZS","Gender","Men who own land jointly (% of men): Q3","","Men who own land jointly (% of men): Q3 is the percentage of men who only jointly own a land, which legally registered with their name or cannot be sold without their signature, with someone else. ""Only jointly"" implies the man doesn’t own a land on his own, but instead jointly owns one with someone else. Each wealth quintile represents one fifth of households with quintile 1 being the poorest 20 percent of households and quintile 5 being the richest 20 percent of households.","","Annual","","","","","","","Demographic and Health Surveys (DHS)","Men who own land jointly is the number of men who say the only type of land they own is the one they own with someone esle, expressed as percentage of men who have been interviewed. ‘Ownership’ implies that the land is legally registered in the man's name or, since official property records do not always exist or are not maintained, the land is recognized as his  and cannot be sold without his signature or equivalent. ‘land’ includes all agricultural or non-agricultural land. Non-agricultural land refers to rural land that is not used for growing crops, and most land in urban areas.","Ownership of assets, particularly high-value assets, has many beneficial effects for households, including protection against financial ruin. For women in particular, asset ownership is a source of economic empowerment and provides protection in the case of marital dissolution or abandonment. There is increasing evidence that ownership of property by women has positive consequences for women’s empowerment, nutritional and health outcomes, and children’s schooling.","","","","CC BY-4.0",
"SG.OWN.LDJT.MA.Q4.ZS","Gender","Men who own land jointly (% of men): Q4","","Men who own land jointly (% of men): Q4 is the percentage of men who only jointly own a land, which legally registered with their name or cannot be sold without their signature, with someone else. ""Only jointly"" implies the man doesn’t own a land on his own, but instead jointly owns one with someone else. Each wealth quintile represents one fifth of households with quintile 1 being the poorest 20 percent of households and quintile 5 being the richest 20 percent of households.","","Annual","","","","","","","Demographic and Health Surveys (DHS)","Men who own land jointly is the number of men who say the only type of land they own is the one they own with someone esle, expressed as percentage of men who have been interviewed. ‘Ownership’ implies that the land is legally registered in the man's name or, since official property records do not always exist or are not maintained, the land is recognized as his  and cannot be sold without his signature or equivalent. ‘land’ includes all agricultural or non-agricultural land. Non-agricultural land refers to rural land that is not used for growing crops, and most land in urban areas.","Ownership of assets, particularly high-value assets, has many beneficial effects for households, including protection against financial ruin. For women in particular, asset ownership is a source of economic empowerment and provides protection in the case of marital dissolution or abandonment. There is increasing evidence that ownership of property by women has positive consequences for women’s empowerment, nutritional and health outcomes, and children’s schooling.","","","","CC BY-4.0",
"SG.OWN.LDJT.MA.Q5.ZS","Gender","Men who own land jointly (% of men): Q5 (highest)","","Men who own land jointly (% of men): Q5 (highest) is the percentage of men who only jointly own a land, which legally registered with their name or cannot be sold without their signature, with someone else. ""Only jointly"" implies the man doesn’t own a land on his own, but instead jointly owns one with someone else. Each wealth quintile represents one fifth of households with quintile 1 being the poorest 20 percent of households and quintile 5 being the richest 20 percent of households.","","Annual","","","","","","","Demographic and Health Surveys (DHS)","Men who own land jointly is the number of men who say the only type of land they own is the one they own with someone esle, expressed as percentage of men who have been interviewed. ‘Ownership’ implies that the land is legally registered in the man's name or, since official property records do not always exist or are not maintained, the land is recognized as his  and cannot be sold without his signature or equivalent. ‘land’ includes all agricultural or non-agricultural land. Non-agricultural land refers to rural land that is not used for growing crops, and most land in urban areas.","Ownership of assets, particularly high-value assets, has many beneficial effects for households, including protection against financial ruin. For women in particular, asset ownership is a source of economic empowerment and provides protection in the case of marital dissolution or abandonment. There is increasing evidence that ownership of property by women has positive consequences for women’s empowerment, nutritional and health outcomes, and children’s schooling.","","","","CC BY-4.0",
"SG.OWN.LDJT.MA.ZS","Gender","Men who own land jointly (% of men)","","Men who own land jointly (% of men) is the percentage of men who only jointly own a land, which legally registered with their name or cannot be sold without their signature, with someone else. ""Only jointly"" implies the man doesn’t own a land on his own, but instead jointly owns one with someone else.","","Annual","","","","","","","Demographic and Health Surveys (DHS)","Men who own land jointly is the number of men who say the only type of land they own is the one they own with someone else, expressed as percentage of men who have been interviewed and It’s derived by dividing the number of men who responded they only jointly with someone else own a land which legally registered with their name or can’t be sold without their signature by total number of men who have been interviewed. ‘Ownership’ implies that the land is legally registered in the man's name or, since official property records do not always exist or are not maintained, the land is recognized as his  and cannot be sold without his signature or equivalent. ‘land’ includes all agricultural or non-agricultural land. Non-agricultural land refers to rural land that is not used for growing crops, and most land in urban areas.","Ownership of assets, particularly high-value assets, has many beneficial effects for households, including protection against financial ruin. For women in particular, asset ownership is a source of economic empowerment and provides protection in the case of marital dissolution or abandonment. There is increasing evidence that ownership of property by women has positive consequences for women’s empowerment, nutritional and health outcomes, and children’s schooling.","","","","CC BY-4.0",
"SG.OWN.LDNO.FE.Q1.ZS","Gender","Women who do not own land (% of women age 15-49): Q1 (lowest)","","Women who do not own land (% of women age 15-49): Q1 (lowest) is the percentage of women age 15-49 who don’t own any land, which legally registered with their name or cannot be sold without their signature, either solely or jointly with someone else or both. Each wealth quintile represents one fifth of households with quintile 1 being the poorest 20 percent of households and quintile 5 being the richest 20 percent of households.","","Annual","","","","","","","Demographic and Health Surveys (DHS)","Women who do not own land is the number of women age 15-49 who say they don’t own any land either alone or jointly with someone else or both, expressed as percentage of women age 15-49 who have been interviewed. ‘Ownership’ implies that the land is legally registered in the woman’s name or, since official property records do not always exist or are not maintained, the land is recognized as hers and cannot be sold without her signature or equivalent. ‘land’ includes all agricultural or non-agricultural land. Non-agricultural land refers to rural land that is not used for growing crops, and most land in urban areas.","Ownership of assets, particularly high-value assets, has many beneficial effects for households, including protection against financial ruin. For women in particular, asset ownership is a source of economic empowerment and provides protection in the case of marital dissolution or abandonment. There is increasing evidence that ownership of property by women has positive consequences for women’s empowerment, nutritional and health outcomes, and children’s schooling.","","","","CC BY-4.0",
"SG.OWN.LDNO.FE.Q2.ZS","Gender","Women who do not own land (% of women age 15-49): Q2","","Women who do not own land (% of women age 15-49): Q2 is the percentage of women age 15-49 who don’t own any land, which legally registered with their name or cannot be sold without their signature, either solely or jointly with someone else or both. Each wealth quintile represents one fifth of households with quintile 1 being the poorest 20 percent of households and quintile 5 being the richest 20 percent of households.","","Annual","","","","","","","Demographic and Health Surveys (DHS)","Women who do not own land is the number of women age 15-49 who say they don’t own any land either alone or jointly with someone else or both, expressed as percentage of women age 15-49 who have been interviewed. ‘Ownership’ implies that the land is legally registered in the woman’s name or, since official property records do not always exist or are not maintained, the land is recognized as hers and cannot be sold without her signature or equivalent. ‘land’ includes all agricultural or non-agricultural land. Non-agricultural land refers to rural land that is not used for growing crops, and most land in urban areas.","Ownership of assets, particularly high-value assets, has many beneficial effects for households, including protection against financial ruin. For women in particular, asset ownership is a source of economic empowerment and provides protection in the case of marital dissolution or abandonment. There is increasing evidence that ownership of property by women has positive consequences for women’s empowerment, nutritional and health outcomes, and children’s schooling.","","","","CC BY-4.0",
"SG.OWN.LDNO.FE.Q3.ZS","Gender","Women who do not own land (% of women age 15-49): Q3","","Women who do not own land (% of women age 15-49): Q3 is the percentage of women age 15-49 who don’t own any land, which legally registered with their name or cannot be sold without their signature, either solely or jointly with someone else or both. Each wealth quintile represents one fifth of households with quintile 1 being the poorest 20 percent of households and quintile 5 being the richest 20 percent of households.","","Annual","","","","","","","Demographic and Health Surveys (DHS)","Women who do not own land is the number of women age 15-49 who say they don’t own any land either alone or jointly with someone else or both, expressed as percentage of women age 15-49 who have been interviewed. ‘Ownership’ implies that the land is legally registered in the woman’s name or, since official property records do not always exist or are not maintained, the land is recognized as hers and cannot be sold without her signature or equivalent. ‘land’ includes all agricultural or non-agricultural land. Non-agricultural land refers to rural land that is not used for growing crops, and most land in urban areas.","Ownership of assets, particularly high-value assets, has many beneficial effects for households, including protection against financial ruin. For women in particular, asset ownership is a source of economic empowerment and provides protection in the case of marital dissolution or abandonment. There is increasing evidence that ownership of property by women has positive consequences for women’s empowerment, nutritional and health outcomes, and children’s schooling.","","","","CC BY-4.0",
"SG.OWN.LDNO.FE.Q4.ZS","Gender","Women who do not own land (% of women age 15-49): Q4","","Women who do not own land (% of women age 15-49): Q4 is the percentage of women age 15-49 who don’t own any land, which legally registered with their name or cannot be sold without their signature, either solely or jointly with someone else or both. Each wealth quintile represents one fifth of households with quintile 1 being the poorest 20 percent of households and quintile 5 being the richest 20 percent of households.","","Annual","","","","","","","Demographic and Health Surveys (DHS)","Women who do not own land is the number of women age 15-49 who say they don’t own any land either alone or jointly with someone else or both, expressed as percentage of women age 15-49 who have been interviewed. ‘Ownership’ implies that the land is legally registered in the woman’s name or, since official property records do not always exist or are not maintained, the land is recognized as hers and cannot be sold without her signature or equivalent. ‘land’ includes all agricultural or non-agricultural land. Non-agricultural land refers to rural land that is not used for growing crops, and most land in urban areas.","Ownership of assets, particularly high-value assets, has many beneficial effects for households, including protection against financial ruin. For women in particular, asset ownership is a source of economic empowerment and provides protection in the case of marital dissolution or abandonment. There is increasing evidence that ownership of property by women has positive consequences for women’s empowerment, nutritional and health outcomes, and children’s schooling.","","","","CC BY-4.0",
"SG.OWN.LDNO.FE.Q5.ZS","Gender","Women who do not own land (% of women age 15-49): Q5 (highest)","","Women who do not own land (% of women age 15-49): Q5 (highest) is the percentage of women age 15-49 who don’t own any land, which legally registered with their name or cannot be sold without their signature, either solely or jointly with someone else or both. Each wealth quintile represents one fifth of households with quintile 1 being the poorest 20 percent of households and quintile 5 being the richest 20 percent of households.","","Annual","","","","","","","Demographic and Health Surveys (DHS)","Women who do not own land is the number of women age 15-49 who say they don’t own any land either alone or jointly with someone else or both, expressed as percentage of women age 15-49 who have been interviewed. ‘Ownership’ implies that the land is legally registered in the woman’s name or, since official property records do not always exist or are not maintained, the land is recognized as hers and cannot be sold without her signature or equivalent. ‘land’ includes all agricultural or non-agricultural land. Non-agricultural land refers to rural land that is not used for growing crops, and most land in urban areas.","Ownership of assets, particularly high-value assets, has many beneficial effects for households, including protection against financial ruin. For women in particular, asset ownership is a source of economic empowerment and provides protection in the case of marital dissolution or abandonment. There is increasing evidence that ownership of property by women has positive consequences for women’s empowerment, nutritional and health outcomes, and children’s schooling.","","","","CC BY-4.0",
"SG.OWN.LDNO.FE.ZS","Gender","Women who do not own land (% of women age 15-49)","","Women who do not own land (% of women age 15-49) is the percentage of women age 15-49 who don’t own any land, which legally registered with their name or cannot be sold without their signature, either solely or jointly with someone else or both.","","Annual","","","","","","","Demographic and Health Surveys (DHS)","Women who do not own land is the number of women age 15-49 who say they don’t own any land either alone or jointly with someone else or both, expressed as percentage of women age 15-49 who have been interviewed and It’s derived by dividing the number of women age 15-49 who responded they don’t own any land which legally registered with their name or can’t be sold without their signature by total number of women age 15-49 who have been interviewed. ‘Ownership’ implies that the land is legally registered in the woman’s name or, since official property records do not always exist or are not maintained, the land is recognized as hers and cannot be sold without her signature or equivalent. ‘land’ includes all agricultural or non-agricultural land. Non-agricultural land refers to rural land that is not used for growing crops, and most land in urban areas.","Ownership of assets, particularly high-value assets, has many beneficial effects for households, including protection against financial ruin. For women in particular, asset ownership is a source of economic empowerment and provides protection in the case of marital dissolution or abandonment. There is increasing evidence that ownership of property by women has positive consequences for women’s empowerment, nutritional and health outcomes, and children’s schooling.","","","","CC BY-4.0",
"SG.OWN.LDNO.MA.Q1.ZS","Gender","Men who do not own land (% of men): Q1 (lowest)","","Men who do not own land (% of men): Q1 (lowest) is the percentage of men who don’t own any land, which legally registered with their name or cannot be sold without their signature, either solely or jointly with someone else or both. Each wealth quintile represents one fifth of households with quintile 1 being the poorest 20 percent of households and quintile 5 being the richest 20 percent of households.","","Annual","","","","","","","Demographic and Health Surveys (DHS)","Men who do not own land is the number of men who say they don’t own any land either alone or jointly with someone else or both, expressed as percentage of men who have been interviewed. ‘Ownership’ implies that the land is legally registered in the man's name or, since official property records do not always exist or are not maintained, the land is recognized as his  and cannot be sold without his signature or equivalent. ‘land’ includes all agricultural or non-agricultural land. Non-agricultural land refers to rural land that is not used for growing crops, and most land in urban areas.","Ownership of assets, particularly high-value assets, has many beneficial effects for households, including protection against financial ruin. For women in particular, asset ownership is a source of economic empowerment and provides protection in the case of marital dissolution or abandonment. There is increasing evidence that ownership of property by women has positive consequences for women’s empowerment, nutritional and health outcomes, and children’s schooling.","","","","CC BY-4.0",
"SG.OWN.LDNO.MA.Q2.ZS","Gender","Men who do not own land (% of men): Q2","","Men who do not own land (% of men): Q2 is the percentage of men who don’t own any land, which legally registered with their name or cannot be sold without their signature, either solely or jointly with someone else or both. Each wealth quintile represents one fifth of households with quintile 1 being the poorest 20 percent of households and quintile 5 being the richest 20 percent of households.","","Annual","","","","","","","Demographic and Health Surveys (DHS)","Men who do not own land is the number of men who say they don’t own any land either alone or jointly with someone else or both, expressed as percentage of men who have been interviewed. ‘Ownership’ implies that the land is legally registered in the man's name or, since official property records do not always exist or are not maintained, the land is recognized as his  and cannot be sold without his signature or equivalent. ‘land’ includes all agricultural or non-agricultural land. Non-agricultural land refers to rural land that is not used for growing crops, and most land in urban areas.","Ownership of assets, particularly high-value assets, has many beneficial effects for households, including protection against financial ruin. For women in particular, asset ownership is a source of economic empowerment and provides protection in the case of marital dissolution or abandonment. There is increasing evidence that ownership of property by women has positive consequences for women’s empowerment, nutritional and health outcomes, and children’s schooling.","","","","CC BY-4.0",
"SG.OWN.LDNO.MA.Q3.ZS","Gender","Men who do not own land (% of men): Q3","","Men who do not own land (% of men): Q3 is the percentage of men who don’t own any land, which legally registered with their name or cannot be sold without their signature, either solely or jointly with someone else or both. Each wealth quintile represents one fifth of households with quintile 1 being the poorest 20 percent of households and quintile 5 being the richest 20 percent of households.","","Annual","","","","","","","Demographic and Health Surveys (DHS)","Men who do not own land is the number of men who say they don’t own any land either alone or jointly with someone else or both, expressed as percentage of men who have been interviewed. ‘Ownership’ implies that the land is legally registered in the man's name or, since official property records do not always exist or are not maintained, the land is recognized as his  and cannot be sold without his signature or equivalent. ‘land’ includes all agricultural or non-agricultural land. Non-agricultural land refers to rural land that is not used for growing crops, and most land in urban areas.","Ownership of assets, particularly high-value assets, has many beneficial effects for households, including protection against financial ruin. For women in particular, asset ownership is a source of economic empowerment and provides protection in the case of marital dissolution or abandonment. There is increasing evidence that ownership of property by women has positive consequences for women’s empowerment, nutritional and health outcomes, and children’s schooling.","","","","CC BY-4.0",
"SG.OWN.LDNO.MA.Q4.ZS","Gender","Men who do not own land (% of men): Q4","","Men who do not own land (% of men): Q4 is the percentage of men who don’t own any land, which legally registered with their name or cannot be sold without their signature, either solely or jointly with someone else or both. Each wealth quintile represents one fifth of households with quintile 1 being the poorest 20 percent of households and quintile 5 being the richest 20 percent of households.","","Annual","","","","","","","Demographic and Health Surveys (DHS)","Men who do not own land is the number of men who say they don’t own any land either alone or jointly with someone else or both, expressed as percentage of men who have been interviewed. ‘Ownership’ implies that the land is legally registered in the man's name or, since official property records do not always exist or are not maintained, the land is recognized as his  and cannot be sold without his signature or equivalent. ‘land’ includes all agricultural or non-agricultural land. Non-agricultural land refers to rural land that is not used for growing crops, and most land in urban areas.","Ownership of assets, particularly high-value assets, has many beneficial effects for households, including protection against financial ruin. For women in particular, asset ownership is a source of economic empowerment and provides protection in the case of marital dissolution or abandonment. There is increasing evidence that ownership of property by women has positive consequences for women’s empowerment, nutritional and health outcomes, and children’s schooling.","","","","CC BY-4.0",
"SG.OWN.LDNO.MA.Q5.ZS","Gender","Men who do not own land (% of men): Q5 (highest)","","Men who do not own land (% of men): Q5 (highest) is the percentage of men who don’t own any land, which legally registered with their name or cannot be sold without their signature, either solely or jointly with someone else or both. Each wealth quintile represents one fifth of households with quintile 1 being the poorest 20 percent of households and quintile 5 being the richest 20 percent of households.","","Annual","","","","","","","Demographic and Health Surveys (DHS)","Men who do not own land is the number of men who say they don’t own any land either alone or jointly with someone else or both, expressed as percentage of men who have been interviewed. ‘Ownership’ implies that the land is legally registered in the man's name or, since official property records do not always exist or are not maintained, the land is recognized as his  and cannot be sold without his signature or equivalent. ‘land’ includes all agricultural or non-agricultural land. Non-agricultural land refers to rural land that is not used for growing crops, and most land in urban areas.","Ownership of assets, particularly high-value assets, has many beneficial effects for households, including protection against financial ruin. For women in particular, asset ownership is a source of economic empowerment and provides protection in the case of marital dissolution or abandonment. There is increasing evidence that ownership of property by women has positive consequences for women’s empowerment, nutritional and health outcomes, and children’s schooling.","","","","CC BY-4.0",
"SG.OWN.LDNO.MA.ZS","Gender","Men who do not own land (% of men)","","Men who do not own land (% of men) is the percentage of men who don’t own any land, which legally registered with their name or cannot be sold without their signature, either solely or jointly with someone else or both.","","Annual","","","","","","","Demographic and Health Surveys (DHS)","Men who do not own land is the number of men who say they don’t own any land either alone or jointly with someone else or both, expressed as percentage of men who have been interviewed and It’s derived by dividing the number of men who responded they don’t own any land which legally registered with their name or can’t be sold without their signature by total number of men who have been interviewed. ‘Ownership’ implies that the land is legally registered in the man's name or, since official property records do not always exist or are not maintained, the land is recognized as his  and cannot be sold without his signature or equivalent. ‘land’ includes all agricultural or non-agricultural land. Non-agricultural land refers to rural land that is not used for growing crops, and most land in urban areas.","Ownership of assets, particularly high-value assets, has many beneficial effects for households, including protection against financial ruin. For women in particular, asset ownership is a source of economic empowerment and provides protection in the case of marital dissolution or abandonment. There is increasing evidence that ownership of property by women has positive consequences for women’s empowerment, nutritional and health outcomes, and children’s schooling.","","","","CC BY-4.0",
